Time [s],Channel 0
2021-07-16T20:05:08.826079000+00:00,1
2021-07-16T20:05:09.398239583+00:00,0
2021-07-16T20:05:09.401394833+00:00,1
2021-07-16T20:05:09.402983833+00:00,0
2021-07-16T20:05:09.403476750+00:00,1
2021-07-16T20:05:09.404646750+00:00,0
2021-07-16T20:05:09.405144333+00:00,1
2021-07-16T20:05:09.406314250+00:00,0
2021-07-16T20:05:09.406807333+00:00,1
2021-07-16T20:05:09.407157417+00:00,0
2021-07-16T20:05:09.407655000+00:00,1
2021-07-16T20:05:09.408005083+00:00,0
2021-07-16T20:05:09.408502750+00:00,1
2021-07-16T20:05:09.408848167+00:00,0
2021-07-16T20:05:09.409345833+00:00,1
2021-07-16T20:05:09.410516000+00:00,0
2021-07-16T20:05:09.411013583+00:00,1
2021-07-16T20:05:09.411363667+00:00,0
2021-07-16T20:05:09.411861333+00:00,1
2021-07-16T20:05:09.412216000+00:00,0
2021-07-16T20:05:09.412713750+00:00,1
2021-07-16T20:05:09.413879250+00:00,0
2021-07-16T20:05:09.414376833+00:00,1
2021-07-16T20:05:09.415546667+00:00,0
2021-07-16T20:05:09.416039583+00:00,1
2021-07-16T20:05:09.416389667+00:00,0
2021-07-16T20:05:09.416887167+00:00,1
2021-07-16T20:05:09.418057167+00:00,0
2021-07-16T20:05:09.418550083+00:00,1
2021-07-16T20:05:09.418900083+00:00,0
2021-07-16T20:05:09.419397667+00:00,1
2021-07-16T20:05:09.419747667+00:00,0
2021-07-16T20:05:09.420240667+00:00,1
2021-07-16T20:05:09.421415083+00:00,0
2021-07-16T20:05:09.421912667+00:00,1
2021-07-16T20:05:09.423091750+00:00,0
2021-07-16T20:05:09.423589250+00:00,1
2021-07-16T20:05:09.423934667+00:00,0
2021-07-16T20:05:09.424432167+00:00,1
2021-07-16T20:05:09.425602000+00:00,0
2021-07-16T20:05:09.426099583+00:00,1
2021-07-16T20:05:09.427269500+00:00,0
2021-07-16T20:05:09.427767083+00:00,1
2021-07-16T20:05:09.428117083+00:00,0
2021-07-16T20:05:09.428614667+00:00,1
2021-07-16T20:05:09.428964667+00:00,0
2021-07-16T20:05:09.429457667+00:00,1
2021-07-16T20:05:09.430632167+00:00,0
2021-07-16T20:05:09.431129667+00:00,1
2021-07-16T20:05:09.431479667+00:00,0
2021-07-16T20:05:09.431972583+00:00,1
2021-07-16T20:05:09.432331833+00:00,0
2021-07-16T20:05:09.432829333+00:00,1
2021-07-16T20:05:09.433994500+00:00,0
2021-07-16T20:05:09.434492000+00:00,1
2021-07-16T20:05:09.434837333+00:00,0
2021-07-16T20:05:09.435334750+00:00,1
2021-07-16T20:05:09.435684667+00:00,0
2021-07-16T20:05:09.436182083+00:00,1
2021-07-16T20:05:09.436532083+00:00,0
2021-07-16T20:05:09.437024917+00:00,1
2021-07-16T20:05:09.437374833+00:00,0
2021-07-16T20:05:09.437872333+00:00,1
2021-07-16T20:05:09.438222333+00:00,0
2021-07-16T20:05:09.438715167+00:00,1
2021-07-16T20:05:09.439065083+00:00,0
2021-07-16T20:05:09.439562500+00:00,1
2021-07-16T20:05:09.439921667+00:00,0
2021-07-16T20:05:09.440414500+00:00,1
2021-07-16T20:05:09.440764500+00:00,0
2021-07-16T20:05:09.441257333+00:00,1
2021-07-16T20:05:09.441607250+00:00,0
2021-07-16T20:05:09.442104750+00:00,1
2021-07-16T20:05:09.442454750+00:00,0
2021-07-16T20:05:09.442947667+00:00,1
2021-07-16T20:05:09.443297583+00:00,0
2021-07-16T20:05:09.443822667+00:00,1
2021-07-16T20:05:09.444145000+00:00,0
2021-07-16T20:05:09.444642417+00:00,1
2021-07-16T20:05:09.444987750+00:00,0
2021-07-16T20:05:09.445485333+00:00,1
2021-07-16T20:05:09.445835250+00:00,0
2021-07-16T20:05:09.446332750+00:00,1
2021-07-16T20:05:09.446687333+00:00,0
2021-07-16T20:05:09.447184833+00:00,1
2021-07-16T20:05:09.447530167+00:00,0
2021-07-16T20:05:09.448027667+00:00,1
2021-07-16T20:05:09.448377583+00:00,0
2021-07-16T20:05:09.448870417+00:00,1
2021-07-16T20:05:09.450044667+00:00,0
2021-07-16T20:05:09.450542083+00:00,1
2021-07-16T20:05:09.450892000+00:00,0
2021-07-16T20:05:09.451389417+00:00,1
2021-07-16T20:05:09.451734667+00:00,0
2021-07-16T20:05:09.452232167+00:00,1
2021-07-16T20:05:09.453406583+00:00,0
2021-07-16T20:05:09.453899583+00:00,1
2021-07-16T20:05:09.454249500+00:00,0
2021-07-16T20:05:09.454774583+00:00,1
2021-07-16T20:05:09.455106083+00:00,0
2021-07-16T20:05:09.455599000+00:00,1
2021-07-16T20:05:09.456768667+00:00,0
2021-07-16T20:05:09.457261583+00:00,1
2021-07-16T20:05:09.458431333+00:00,0
2021-07-16T20:05:09.458928833+00:00,1
2021-07-16T20:05:09.459278833+00:00,0
2021-07-16T20:05:09.459771750+00:00,1
2021-07-16T20:05:09.460121750+00:00,0
2021-07-16T20:05:09.460619250+00:00,1
2021-07-16T20:05:09.460969250+00:00,0
2021-07-16T20:05:09.461462167+00:00,1
2021-07-16T20:05:09.461812083+00:00,0
2021-07-16T20:05:09.462309583+00:00,1
2021-07-16T20:05:09.462659500+00:00,0
2021-07-16T20:05:09.463157000+00:00,1
2021-07-16T20:05:09.463511583+00:00,0
2021-07-16T20:05:09.464009000+00:00,1
2021-07-16T20:05:09.465174167+00:00,0
2021-07-16T20:05:09.465671667+00:00,1
2021-07-16T20:05:09.466021667+00:00,0
2021-07-16T20:05:09.466514500+00:00,1
2021-07-16T20:05:09.467684250+00:00,0
2021-07-16T20:05:09.468181750+00:00,1
2021-07-16T20:05:09.469351500+00:00,0
2021-07-16T20:05:09.469844417+00:00,1
2021-07-16T20:05:09.470194333+00:00,0
2021-07-16T20:05:09.470691917+00:00,1
2021-07-16T20:05:09.471041917+00:00,0
2021-07-16T20:05:09.471534833+00:00,1
2021-07-16T20:05:09.471884833+00:00,0
2021-07-16T20:05:09.472410083+00:00,1
2021-07-16T20:05:09.472741667+00:00,0
2021-07-16T20:05:09.473234583+00:00,1
2021-07-16T20:05:09.473584583+00:00,0
2021-07-16T20:05:09.474077417+00:00,1
2021-07-16T20:05:09.474427417+00:00,0
2021-07-16T20:05:09.474924917+00:00,1
2021-07-16T20:05:09.475274917+00:00,0
2021-07-16T20:05:09.475767833+00:00,1
2021-07-16T20:05:09.476117750+00:00,0
2021-07-16T20:05:09.476615333+00:00,1
2021-07-16T20:05:09.476965417+00:00,0
2021-07-16T20:05:09.477458417+00:00,1
2021-07-16T20:05:09.477808500+00:00,0
2021-07-16T20:05:09.478333750+00:00,1
2021-07-16T20:05:09.478656083+00:00,0
2021-07-16T20:05:09.479153750+00:00,1
2021-07-16T20:05:09.479508333+00:00,0
2021-07-16T20:05:09.480005917+00:00,1
2021-07-16T20:05:09.480351333+00:00,0
2021-07-16T20:05:09.480849000+00:00,1
2021-07-16T20:05:09.481199000+00:00,0
2021-07-16T20:05:09.481691917+00:00,1
2021-07-16T20:05:09.482042000+00:00,0
2021-07-16T20:05:09.482539583+00:00,1
2021-07-16T20:05:09.482889583+00:00,0
2021-07-16T20:05:09.483382500+00:00,1
2021-07-16T20:05:09.483732500+00:00,0
2021-07-16T20:05:09.484230000+00:00,1
2021-07-16T20:05:09.484580083+00:00,0
2021-07-16T20:05:09.485072917+00:00,1
2021-07-16T20:05:09.485422917+00:00,0
2021-07-16T20:05:09.485920417+00:00,1
2021-07-16T20:05:09.486279583+00:00,0
2021-07-16T20:05:09.486777083+00:00,1
2021-07-16T20:05:09.487122500+00:00,0
2021-07-16T20:05:09.487615417+00:00,1
2021-07-16T20:05:09.487965500+00:00,0
2021-07-16T20:05:09.488463000+00:00,1
2021-07-16T20:05:09.488813000+00:00,0
2021-07-16T20:05:09.489305917+00:00,1
2021-07-16T20:05:09.489655917+00:00,0
2021-07-16T20:05:09.490153500+00:00,1
2021-07-16T20:05:09.490503500+00:00,0
2021-07-16T20:05:09.491001000+00:00,1
2021-07-16T20:05:09.491346333+00:00,0
2021-07-16T20:05:09.491843833+00:00,1
2021-07-16T20:05:09.492193833+00:00,0
2021-07-16T20:05:09.492691333+00:00,1
2021-07-16T20:05:09.493045917+00:00,0
2021-07-16T20:05:09.493543500+00:00,1
2021-07-16T20:05:09.493888917+00:00,0
2021-07-16T20:05:09.494414083+00:00,1
2021-07-16T20:05:09.494736500+00:00,0
2021-07-16T20:05:09.495229417+00:00,1
2021-07-16T20:05:09.495579417+00:00,0
2021-07-16T20:05:09.496076917+00:00,1
2021-07-16T20:05:09.496426917+00:00,0
2021-07-16T20:05:09.496924500+00:00,1
2021-07-16T20:05:09.497269917+00:00,0
2021-07-16T20:05:09.497767500+00:00,1
2021-07-16T20:05:09.498117500+00:00,0
2021-07-16T20:05:09.498615000+00:00,1
2021-07-16T20:05:09.498965000+00:00,0
2021-07-16T20:05:09.499458000+00:00,1
2021-07-16T20:05:09.499817167+00:00,0
2021-07-16T20:05:09.500314667+00:00,1
2021-07-16T20:05:09.500660000+00:00,0
2021-07-16T20:05:09.501157583+00:00,1
2021-07-16T20:05:09.501502917+00:00,0
2021-07-16T20:05:09.502028167+00:00,1
2021-07-16T20:05:09.502350583+00:00,0
2021-07-16T20:05:09.502843500+00:00,1
2021-07-16T20:05:09.503193500+00:00,0
2021-07-16T20:05:09.503718750+00:00,1
2021-07-16T20:05:09.504041167+00:00,0
2021-07-16T20:05:09.504538833+00:00,1
2021-07-16T20:05:09.504884333+00:00,0
2021-07-16T20:05:09.505382000+00:00,1
2021-07-16T20:05:09.505732083+00:00,0
2021-07-16T20:05:09.506229667+00:00,1
2021-07-16T20:05:09.506584333+00:00,0
2021-07-16T20:05:09.507109667+00:00,1
2021-07-16T20:05:09.508252083+00:00,0
2021-07-16T20:05:09.508749750+00:00,1
2021-07-16T20:05:09.509095167+00:00,0
2021-07-16T20:05:09.509620583+00:00,1
2021-07-16T20:05:09.509943000+00:00,0
2021-07-16T20:05:09.510436083+00:00,1
2021-07-16T20:05:09.511610833+00:00,0
2021-07-16T20:05:09.512108500+00:00,1
2021-07-16T20:05:09.512458583+00:00,0
2021-07-16T20:05:09.512951667+00:00,1
2021-07-16T20:05:09.513301667+00:00,0
2021-07-16T20:05:09.513799417+00:00,1
2021-07-16T20:05:09.514969667+00:00,0
2021-07-16T20:05:09.515467333+00:00,1
2021-07-16T20:05:09.515822083+00:00,0
2021-07-16T20:05:09.516315167+00:00,1
2021-07-16T20:05:10.398973333+00:00,0
2021-07-16T20:05:10.402128583+00:00,1
2021-07-16T20:05:10.403713083+00:00,0
2021-07-16T20:05:10.404210750+00:00,1
2021-07-16T20:05:10.405380667+00:00,0
2021-07-16T20:05:10.405873667+00:00,1
2021-07-16T20:05:10.407048167+00:00,0
2021-07-16T20:05:10.407541167+00:00,1
2021-07-16T20:05:10.407891167+00:00,0
2021-07-16T20:05:10.408384167+00:00,1
2021-07-16T20:05:10.408738833+00:00,0
2021-07-16T20:05:10.409231833+00:00,1
2021-07-16T20:05:10.409581917+00:00,0
2021-07-16T20:05:10.410074833+00:00,1
2021-07-16T20:05:10.411249333+00:00,0
2021-07-16T20:05:10.411742250+00:00,1
2021-07-16T20:05:10.412096833+00:00,0
